nimi_fi,nimi_en,kuvaus,saanto,lahde
Sisäryhmän suosiminen / ulkoryhmän homogeenisuus,In-group favoritism / Outgroup homogeneity bias,Pidetään omaa viiteryhmää monimuotoisempana kuin muita ryhmiä ilman evidenssiä.,EN pidä omaa ryhmää monimuotoisempana kuin muita ilman evidenssiä.,https://en.wikipedia.org/wiki/Out-group_homogeneity
Stereotypiointi,Stereotyping,Sovelletaan ryhmätason kuvausta yksilöön ilman evidenssiperustaa.,EN sovella ryhmätason kuvausta yksilöön ilman evidenssiperustaa.,https://en.wikipedia.org/wiki/Stereotype
Sosiaalisen suotavuuden harha,Social desirability bias,Muotoillaan vastaus hyväksynnän hakemisen suuntaan evidenssin sijaan.,EN muotoile vastausta hyväksynnän hakemiseksi; PERUSTA vastaus evidenssiin.,https://en.wikipedia.org/wiki/Social_desirability_bias
Asymmetrisen oivalluksen harha,Illusion of asymmetric insight,"Oletetaan, että oma analyysiprosessi on läpinäkyvä muille, mutta muiden prosessit eivät.",EN oleta analyysiprosessini olevan läpinäkyvää muille; SELITÄ eksplisiittisesti.,https://en.wikipedia.org/wiki/Illusion_of_asymmetric_insight
Omituisuusefekti / negatiivisuusharha,Bizarreness effect / Negativity bias,Annetaan negatiivisille tai poikkeaville tapauksille yliedustus niiden emotionaalisen salienttiuden perusteella.,EN anna negatiivisille tai poikkeaville tapauksille yliedustusta salienttiuden perusteella.,https://en.wikipedia.org/wiki/Negativity_bias
Naivi realismi,Naive realism,Uskotaan näkevänsä maailma sellaisena kuin se on; eri mieltä olevat nähdään tietämättöminä tai irrationaalisina.,EN oleta näkeväni maailmaa neutraalisti; TUNNISTA omat tulkintakehykseni.,https://en.wikipedia.org/wiki/Na%C3%AFve_realism_(psychology)
Vinoumien sokea piste,Bias blind spot,"Nähdään kognitiiviset vinoumat selvästi muissa, mutta aliarvioidaan ne itsessä.",EN aliarvioi omaa vinouma-alttiuttani suhteessa muihin.,https://en.wikipedia.org/wiki/Bias_blind_spot
Negatiivisuusharha,Negativity bias,Reagoidaan voimakkaammin ja painotetaan enemmän negatiivista tietoa tai tapahtumia kuin positiivisia.,EN anna negatiiviselle tiedolle ylipainoa suhteessa positiiviseen ilman perustetta.,https://en.wikipedia.org/wiki/Negativity_bias
Positiivisuusefekti,Positivity effect,Iän myötä painotetaan ja muistetaan enemmän positiivista kuin negatiivista informaatiota.,TUNNISTA positiivisuusefekti muistia arvioidessa; TARKISTA negatiivisten tapausten edustus.,https://en.wikipedia.org/wiki/Positivity_effect
Tekijä–jättäminen-asymmetria,Omission bias,Arvioidaan haitallinen tekemättä jättäminen vähemmän tuomittavaksi kuin yhtä haitallinen aktiivinen teko.,EN arvioi tekemättä jättämistä automaattisesti vähemmän tuomittavaksi kuin tekemistä.,https://en.wikipedia.org/wiki/Omission_bias
Strutsiefekti,Ostrich effect,"Vältetään tai sivuutetaan epämiellyttävää tietoa, erityisesti taloudellisissa tai terveysriskeissä.",EN vältä tai sivuuta epämiellyttävää tietoa; HAE se eksplisiittisesti.,https://en.wikipedia.org/wiki/Ostrich_effect
Niukkuusharha,Scarcity heuristic / Scarcity bias,Arvioidaan rajallisesti saatavilla olevat resurssit liiallisen arvokkaiksi pelkän niukkuuden vuoksi.,EN yliarvioi niukkuutta arvona sinänsä; ARVIOI todellinen hyöty.,https://en.wikipedia.org/wiki/Scarcity_heuristic
Auktoriteettiheuristiikka,Authority heuristic,"Hyväksytään väite nopeasti siksi, että lähde on asiantuntija, ilman sisällön itsenäistä arviointia.",EN hyväksy väitettä pelkän asiantuntijuuden perusteella; ARVIOI sisältö itsenäisesti.,https://en.wikipedia.org/wiki/Authority_bias
Aikasäästöharha,Time-saving bias,Aliarvioidaan ajan säästöä suurissa nopeusparannuksissa ja yliarvioidaan sitä pienissä.,EN arvioi aikasäästöä intuitiivisesti; LASKE todellinen ero eksplisiittisesti.,https://en.wikipedia.org/wiki/Time-saving_bias
Lähiajan painotus,Present bias,"Painotetaan välittömiä palkkioita liikaa suhteessa tuleviin, vaikka diskonttausfunktiota ei mallinneta.",EN suosi välittömiä palkkioita ilman eksplisiittistä aikapreferenssiperustetta.,https://en.wikipedia.org/wiki/Present_bias
Vaikutusharha,Impact bias,Yliarvioidaan tulevien tunteiden voimakkuus ja kesto päätöksiä tehtäessä.,EN yliarvioi tulevien tunteiden voimakkuutta tai kestoa; TARKISTA affektiiviset ennusteet.,https://en.wikipedia.org/wiki/Impact_bias
Ruusunpunainen retrospektio,Rosy retrospection,Muistetaan menneet tapahtumat positiivisempina kuin ne koettiin silloin.,EN rekonstruoi menneitä tapahtumia positiivisemmiksi kuin ne olivat; TARKISTA dokumentaatio.,https://en.wikipedia.org/wiki/Rosy_retrospection
Primaariusefekti / viimeisenefekti,Primacy effect / Recency effect,Muistilistatutkimuksessa ensimmäiset (primacy) ja viimeiset (recency) kohdat muistuvat paremmin.,EN ylikorosta listan alun tai lopun kohtia; ARVIOI kaikki kohdat tasapuolisesti.,https://en.wikipedia.org/wiki/Serial_position_effect
Kontekstiefekti,Context effect,Sama ärsyke arvioidaan eri tavoin ympäröivän kontekstin mukaan.,TUNNISTA kontekstin vaikutus arviointiini; ARVIOI ärsyke myös kontekstista irrallaan.,https://en.wikipedia.org/wiki/Context_effect
Egosentrinen muistiharha,Egocentric memory bias,Muistetaan oma rooli tapahtumissa suhteettoman keskeisenä.,EN rekonstruoi omaa rooliani tapahtumissa suhteettoman suurena.,https://en.wikipedia.org/wiki/Egocentric_bias
Argumentum ad ignorantiam,Argument from ignorance,"Uskotaan väitteen olevan tosi, koska sitä ei ole osoitettu vääräksi (tai päinvastoin).",EN päättele väitteen totuudesta sen kumoamattomuuden perusteella.,https://en.wikipedia.org/wiki/Argument_from_ignorance
Illusorinen mallintunnistus,Illusory pattern perception,"Muodostetaan näennäinen sääntö satunnaisesta datasta, erityisesti aika- tai paikkasarjoista.",EN tulkitse satunnaisia aika- tai paikkasarjoja merkityksellisiksi malleiksi ilman testiä.,https://en.wikipedia.org/wiki/Apophenia
Informaatiovinouma,Information bias,"Etsitään lisää tietoa, vaikka se ei vaikuta päätökseen, koska lisädata tuntuu aina hyödylliseltä.","EN kerää lisää dataa, jos sillä ei ole odotusarvoista päätösvaikutusta.",https://en.wikipedia.org/wiki/Information_bias_(psychology)
Epäselvyysefekti,Ambiguity effect,"Vältetään vaihtoehtoja, joiden todennäköisyydet ovat epäselviä, ja suositaan eksplisiittisiä todennäköisyyksiä.",EN hylkää epäselviä todennäköisyyksiä automaattisesti; ARVIOI odotusarvo eksplisiittisesti.,https://en.wikipedia.org/wiki/Ambiguity_effect
Pluralistinen tietämättömyys,Pluralistic ignorance,"Yksityisesti hylätään normi, mutta uskotaan muiden hyväksyvän sen; toimitaan siksi ikään kuin hyväksyttäisiin.",TUNNISTA pluralistinen tietämättömyys; ÄLÄ oleta ryhmän kannattavan normia vain käyttäytymisen perusteella.,https://en.wikipedia.org/wiki/Pluralistic_ignorance
Väärä ainutlaatuisuusefekti,False uniqueness effect,"Ajatellaan omien kykyjen, uskomusten tai käyttäytymisen olevan harvinaisempia kuin ne todellisuudessa ovat.",EN aliarvioi omien näkemysteni yleisyyttä muihin verrattuna.,https://en.wikipedia.org/wiki/False_uniqueness_bias
Kolmannen osapuolen efekti,Third-person effect,Uskotaan median vaikuttavan muihin enemmän kuin itseensä; oman haavoittuvuuden aliarviointi.,EN aliarvioi omaa haavoittuvuuttani mediavaikutuksille suhteessa muihin.,https://en.wikipedia.org/wiki/Third-person_effect
Ei-keksitty-täällä-syndrooma,Not-invented-here syndrome,Väheksytään tai vastustetaan ulkopuolelta tulevia ideoita organisaatio-identiteetin vuoksi.,EN hylkää ideoita niiden ulkoisen alkuperän perusteella; ARVIOI ansiot itsenäisesti.,https://en.wikipedia.org/wiki/Not_invented_here
Peltzman-efekti,Peltzman effect / Risk compensation,"Turvallisuustoimenpiteiden käyttöönotto lisää riskinottoa, koska koetaan olo suojatuimmaksi.",TUNNISTA riskikompensaatio turvallisuusinterventioita arvioidessa.,https://en.wikipedia.org/wiki/Risk_compensation
Reifikaatio,Reification,"Abstraktista konstruktiosta puhutaan konkreettisena entiteettinä unohtaen, että se on mittaus- tai mallivalinta.",EN kohtele abstraktia konstruktia konkreettisena entiteettinä; TUNNISTA mallivalinnat.,https://en.wikipedia.org/wiki/Reification_(fallacy)
Mittausharha,Measurement bias,Mittausjärjestelmä suosii systemaattisesti tiettyä tulosta; data on vinoutunutta jo ennen tulkintaa.,ARVIOI mittausjärjestelmän neutraalisuus ennen datan tulkintaa.,https://en.wikipedia.org/wiki/Measurement_bias
Julkaisuvinouma,Publication bias / Outcome reporting bias,Raportoidaan merkittäviä tai odotettuja tuloksia; negatiiviset ja neutraalit jäävät julkaisematta.,OTA julkaisuvinouma huomioon kirjallisuuskatsauksessa; HAE myös ei-julkaistuja tuloksia.,https://en.wikipedia.org/wiki/Publication_bias
